External Library Name, Link to License, License Name, Binaries using the license.
None, Apache-2.0, Apache-2.0, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless android-emu-curl.so ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, 
flatbuffers, Apache-2.0, Apache-2.0, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://github.com/google/flatbuffers
libyuv, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/LICENSE, BSD-3-Clause, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/NOTICE, MIT, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
tcmalloc, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master/COPYING, BSD-3-Clause, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless android-emu-curl.so ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64 lib64/libtcmalloc_minimal.so.4, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/lib/libQt5WidgetsAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqicns.so lib64/qt/plugins/bearer/libqconnmanbearer.so lib64/qt/lib/libQt5XcbQpaAndroidEmu.so.5 ./emulator lib64/qt/plugins/iconengines/libqsvgicon.so lib64/qt/plugins/imageformats/libqwebp.so lib64/qt/lib/libQt5CoreAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqgif.so lib64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextplugin.so lib64/qt/lib/libQt5PrintSupportAndroidEmu.so.5 lib64/qt/lib/libQt5GuiAndroidEmu.so.5 lib64/qt/lib/libfreetype.so.6 lib64/qt/plugins/imageformats/libqjpeg.so lib64/qt/plugins/imageformats/libqtiff.so lib64/qt/plugins/imageformats/libqsvg.so lib64/qt/plugins/imageformats/libqtga.so lib64/qt/plugins/bearer/libqnmbearer.so lib64/qt/plugins/imageformats/libqico.so lib64/qt/lib/libQt5SvgAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqwbmp.so lib64/qt/lib/libQt5NetworkAndroidEmu.so.5 lib64/qt/plugins/platforms/libqxcb.so lib64/qt/lib/libQt5DBusAndroidEmu.so.5 lib64/qt/plugins/bearer/libqgenericbearer.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
libstdc++, https://android.googlesource.com/toolchain/clang/+/refs/heads/master/LICENSE.TXT, LLVM-exception, ./goldfish-webrtc-bridge lib64/libstdc++.so.6.0.30 ./emulator-check ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./emulator ./qemu/linux-aarch64/qemu-system-armel lib64/libstdc++.so.6 ./mksdcard ./qemu/linux-aarch64/qemu-system-aarch64, https://packages.debian.org/sid/crossbuild-essential-arm64
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/resize2fs bin64/fsck.ext4 bin64/tune2fs bin64/mkfs.ext4 bin64/e2fsck ./emulator, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
glib-2.0, https://gitlab.gnome.org/GNOME/glib/blob/master/COPYING, LGPL-2.1-only, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/glib-2.38.2.tar.xz
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator emugl_common.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
